Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_search by keyword,Chrome 108.0.0.0,,,2022-12-16 12:26:13,2022-12-16 12:26:36,22.354s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 108.0.0.0,,,2022-12-16 12:26:14,2022-12-16 12:26:21,7.697s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-16 12:26:14,2022-12-16 12:26:16,1.966s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 108.0.0.0,,,2022-12-16 12:26:16,2022-12-16 12:26:17,0.941s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""บิ๊กตู่"")",Chrome 108.0.0.0,,,2022-12-16 12:26:17,2022-12-16 12:26:17,0.711s,PASSED
"click(findTestObject(""Page_Google/input_btnK""))",Chrome 108.0.0.0,,,2022-12-16 12:26:17,2022-12-16 12:26:20,2.341s,PASSED
"verifyTextPresent(""ประยุทธ์ จันทร์โอชา"", false)",Chrome 108.0.0.0,,,2022-12-16 12:26:20,2022-12-16 12:26:21,0.898s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-16 12:26:21,2022-12-16 12:26:21,0.619s,PASSED
,,,,,,,
Test Cases/Test2,Chrome 108.0.0.0,,,2022-12-16 12:26:21,2022-12-16 12:26:28,6.652s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-16 12:26:21,2022-12-16 12:26:23,1.241s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 108.0.0.0,,,2022-12-16 12:26:23,2022-12-16 12:26:23,0.819s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""บิ๊กป้อม"")",Chrome 108.0.0.0,,,2022-12-16 12:26:23,2022-12-16 12:26:24,0.714s,PASSED
"click(findTestObject(""Page_Google/input_btnK""))",Chrome 108.0.0.0,,,2022-12-16 12:26:24,2022-12-16 12:26:26,2.176s,PASSED
"verifyTextPresent(""บิ๊กป้อม"", false)",Chrome 108.0.0.0,,,2022-12-16 12:26:26,2022-12-16 12:26:27,0.908s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-16 12:26:27,2022-12-16 12:26:28,0.620s,PASSED
,,,,,,,
Test Cases/Test3,Chrome 108.0.0.0,,,2022-12-16 12:26:28,2022-12-16 12:26:36,7.836s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-16 12:26:28,2022-12-16 12:26:29,1.234s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 108.0.0.0,,,2022-12-16 12:26:29,2022-12-16 12:26:30,0.955s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""ปรารีนา"")",Chrome 108.0.0.0,,,2022-12-16 12:26:30,2022-12-16 12:26:31,0.698s,PASSED
"click(findTestObject(""Page_Google/input_btnK""))",Chrome 108.0.0.0,,,2022-12-16 12:26:31,2022-12-16 12:26:34,3.456s,PASSED
"verifyTextPresent(""ปรารีนา"", false)",Chrome 108.0.0.0,,,2022-12-16 12:26:34,2022-12-16 12:26:35,0.665s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-16 12:26:35,2022-12-16 12:26:36,0.635s,PASSED
